Creation Date,UID,SKU,Products,Type,Title,Collection,Category,Family,Price,Color,Size,Display,,Count,Online,Images
,T61399-M,T61399-M,T61399-M,,SPAGHETTI STRAP POLKA DOT TOP IN NAVY,Clothing,Tops,Tops,39.99,NAVY,M,,,2,y,
,T61399-L,T61399-L,T61399-L,,SPAGHETTI STRAP POLKA DOT TOP IN NAVY,Clothing,Tops,Tops,39.99,NAVY,L,,,1,y,
,TR52427B-M,TR52427B-M,TR52427B-M,,SWEATER BLACK/GREY,Clothing,Tops,Tops,65.25,BLK/GREY,M,,,1,y,
,SWP904-M,SWP904-M,SWP904-M,,SWEATER HEART,Clothing,Tops,Tops,60.75,BEIGE,M,,,1,y,
,SWP904-L,SWP904-L,SWP904-L,,SWEATER HEART,Clothing,Tops,Tops,60.75,BEIGE,L,,,2,y,
,TJ52574R-M,TJ52574R-M,TJ52574R-M,,SWEATER SALMON W/METAL,Clothing,Tops,Tops,51.75,SALMON,M,,,1,y,
,AU13-120S-M,AU13-120S-M,AU13-120S-M,,SWEATER SAND SHE'S MY BEST FRIEND,Clothing,Tops,Tops,56.25,SAND,M,,,2,y,
,AU13-120S-L,AU13-120S-L,AU13-120S-L,,SWEATER SAND SHE'S MY BEST FRIEND,Clothing,Tops,Tops,56.25,SAND,L,,,1,y,
,TK51596AB-M,TK51596AB-M,TK51596AB-M,,SWEATER W/LEATHER TRIM,,,COAT,78.75,GREY,M,,,0,y,
,TK51596AB-L,TK51596AB-L,TK51596AB-L,,SWEATER W/LEATHER TRIM,,,COAT,78.75,GREY,L,,,1,y,
,SW82-M,SW82-M,SW82-M,,SWEATER WHITE/CUTOUT HEART,Clothing,Tops,Tops,63.00,White,M,,,2,y,
,SW82-L,SW82-L,SW82-L,,SWEATER WHITE/CUTOUT HEART,Clothing,Tops,Tops,63.00,White,L,,,2,y,
,FT202-M,FT202-M,FT202-M,,SWEATPANTS,Clothing,Bottoms,Pants,49.50,GREY,M,,,2,y,
,FT202-L,FT202-L,FT202-L,,SWEATPANTS,Clothing,Bottoms,Pants,49.50,GREY,L,,,0,y,
,2979T-M,2979T-M,2979T-M,,TOP LONG SLEEVE APRICOT,Clothing,Tops,Tops,40.00,APRICOT/ NAVY,M,,,2,y,
,20078T-K-M,20078T-K-M,20078T-K-M,,TOP RUST/GREY FLOWY,Clothing,Tops,Tops,44.00,RUST/ GREY,M,,,1,y,
,20078T-K-L,20078T-K-L,20078T-K-L,,TOP RUST/GREY FLOWY,Clothing,Tops,Tops,44.00,RUST/ GREY,L,,,1,y,
,31473-M,31473-M,31473-M,,TRIPLE SPAGHETTI STRAP TOP,Clothing,Tops,Tops,36.00,,M,,,1,y,
,AU13-079-M,AU13-079-M,AU13-079-M,,VALDIVIA DRESS,Clothing,Dresses,DRESS,58.50,MULTI,M,,,2,y,
,AU13-079-L,AU13-079-L,AU13-079-L,,VALDIVIA DRESS,Clothing,Dresses,DRESS,58.50,MULTI,L,,,1,y,
,D50360A-M,D50360A-M,D50360A-M,,WHITE DRESS W/ BOW BELT,Clothing,Dresses,DRESS,64.99,,M,,,2,y,
,D50360A-L,D50360A-L,D50360A-L,,WHITE DRESS W/ BOW BELT,Clothing,Dresses,DRESS,64.99,,L,,,1,y,
,DJ15865G-M,DJ15865G-M,DJ15865G-M,,YELLOW DRESS,Clothing,Dresses,DRESS,64.99,YELLOW,M,,,2,y,
,DJ15865G-L,DJ15865G-L,DJ15865G-L,,YELLOW DRESS,Clothing,Dresses,DRESS,64.99,YELLOW,L,,,1,y,
